Sursa,Itemul,Problema,Pasii de rezolvare,Raspunsul,Dificultate,Tema,Tema_norm,Domeniu,Dificultate_group,Sursa_type,Sursa_year,Problema_clean,Pasi_clean,Raspuns_clean,problem_chars,problem_words,steps_chars,answer_chars,n_digits,n_math_symbols,has_percent,has_geometry_word,has_equation_word,has_radical,has_function_word,has_real_life_context,problem_hash
Exersare Test 1 - 2025,1.0,"Fie a = 0,25 * 8 si b = 7 - 11. Completati casetele cu numere intregi: a = ?, b = ?, b/a = ?","a = 0,25 * 8 = 2; b = 7 - 11 = -4; b/a = -4/2 = -2",a = 2; b = -4; b/a = -2,1.0,Multimi numerice,Mulțimi numerice,Mulțimi numerice,1 - bază,exersare,2025.0,"fie a = 0,25 * 8 si b = 7 - 11. completati casetele cu numere intregi: a = ?, b = ?, b/a = ?","a = 0,25 * 8 = 2; b = 7 - 11 = -4; b/a = -4/2 = -2",a = 2; b = -4; b/a = -2,92,26,50,23,7,8,0,0,0,0,0,0,"fie a = 0,25 * 8 si b = 7 - 11. completati casetele cu numere intregi: a = ?, b = ?, b/a = ?"
Sesiune de bază 2023,5.0,Calculați expresia -3³ - 27 - 4,-27 - 27 - 4 = -58,-58,1.0,Multimi numerice,Mulțimi numerice,Mulțimi numerice,1 - bază,sesiune_baza,2023.0,calculati expresia -3³ - 27 - 4,-27 - 27 - 4 = -58,-58,31,7,18,3,4,3,0,0,0,0,0,0,calculati expresia -3³ - 27 - 4
Sesiune de baza 2025,1.0,"Fie a = (15/4) · (8/3) și b = −9 + 4. Completați casetele cu numere întregi:
a = __, b = __, a/b = __","Calculăm a:
a = (15/4) · (8/3) = (15 · 8)/(4 · 3) = 120/12 = 10

Calculăm b:
b = −9 + 4 = −5

Calculăm a/b:
a/b = 10/(−5) = −2","a = 10, b = −5, a/b = −2",1.0,Multimi numerice,Mulțimi numerice,Mulțimi numerice,1 - bază,sesiune_baza,2025.0,"fie a = (15/4) · (8/3) si b = -9 + 4. completati casetele cu numere intregi: a = __, b = __, a/b = __",calculam a: a = (15/4) · (8/3) = (15 · 8)/(4 · 3) = 120/12 = 10 calculam b: b = -9 + 4 = -5 calculam a/b: a/b = 10/(-5) = -2,"a = 10, b = -5, a/b = -2",101,26,126,24,7,13,0,0,0,0,0,0,"fie a = (15/4) · (8/3) si b = -9 + 4. completati casetele cu numere intregi: a = __, b = __, a/b = __"
Exersare Test 1 - 2024,6.0,Rezolvati in R ecuatia (2x - 1)^2 - 1 = 0.,Obtinerea ecuatiei 4x^2 - 4x =0; delta= (-4)^2-4*4*0=16; x1=(4-4)/8=0; x2=(4+4)/8=1,S = {0; 1},1.0,Ecuatie de gradul 2,Ecuații de gradul II,"Ecuații, inecuații și sisteme",1 - bază,exersare,2024.0,rezolvati in r ecuatia (2x - 1)^2 - 1 = 0.,obtinerea ecuatiei 4x^2 - 4x =0; delta= (-4)^2-4*4*0=16; x1=(4-4)/8=0; x2=(4+4)/8=1,s = {0; 1},42,11,83,10,5,6,0,0,1,0,0,0,rezolvati in r ecuatia (2x - 1)^2 - 1 = 0.
Pretestare Aprilie - 2019,6.0,Rezolvați (x²−1)/(x−1)=2 pentru x real.,"Pentru x≠1: (x-1)(x+1)/(x-1) = x+1 = 2 → x = 1. Dar x≠1, deci A = ∅",∅ (mulțimea vidă),2.0,Ecuații,Ecuații,"Ecuații, inecuații și sisteme",2 - mediu,pretestare,2019.0,rezolvati (x²-1)/(x-1)=2 pentru x real.,"pentru x=1: (x-1)(x+1)/(x-1) = x+1 = 2 → x = 1. dar x=1, deci a = ∅",∅ (multimea vida),39,5,67,17,3,6,0,0,0,0,0,0,rezolvati (x²-1)/(x-1)=2 pentru x real.
Sesiunea de bază - 2019,11.0,Rezolvați: (x+1)/(x−3) + (x−5)/(x+3) = 2/3.,"Condiții de existență: x ≠ 3, x ≠ -3.
Numitor comun: LCD = 3(x-3)(x+3).
Înmulțim ecuația cu LCD:
3(x+1)(x+3) + 3(x-5)(x-3) = 2(x²-9)
Dezvoltăm:
3(x²+4x+3) + 3(x²-8x+15) = 2x²-18
3x²+12x+9 + 3x²-24x+45 = 2x²-18
6x²-12x+54 = 2x²-18
4x²-12x+72 = 0
x²-3x+18 = 0
Δ = 9 - 72 = -63 < 0
Ecuația nu are soluții reale.",∅ (mulțimea vidă),3.0,Ecuații,Ecuații,"Ecuații, inecuații și sisteme",3 - consolidare,sesiune_baza,2019.0,rezolvati: (x+1)/(x-3) + (x-5)/(x+3) = 2/3.,"conditii de existenta: x = 3, x = -3. numitor comun: lcd = 3(x-3)(x+3). inmultim ecuatia cu lcd: 3(x+1)(x+3) + 3(x-5)(x-3) = 2(x²-9) dezvoltam: 3(x²+4x+3) + 3(x²-8x+15) = 2x²-18 3x²+12x+9 + 3x²-24x+45 = 2x²-18 6x²-12x+54 = 2x²-18 4x²-12x+72 = 0 x²-3x+18 = 0 δ = 9 - 72 = -63 < 0 ecuatia nu are solutii reale.",∅ (multimea vida),43,6,308,17,6,15,0,0,0,0,0,0,rezolvati: (x+1)/(x-3) + (x-5)/(x+3) = 2/3.
Exersare Test 1 - 2017,11.0,E(X)=(X−3)/(2X−3)+(X−1)/(3(X−3)). Găsiți X pentru E(X)=1.,"Condiții: X ≠ 3/2, X ≠ 3. LCD = 3(2X-3)(X-3). Ecuația E(X) = 1 devine: 3(X-3)² + (X-1)(2X-3) = 3(2X-3)(X-3). Dezvoltăm: 3(X²-6X+9) + (2X²-5X+3) = 3(2X²-9X+9). 3X²-18X+27 + 2X²-5X+3 = 6X²-27X+27. 5X²-23X+30 = 6X²-27X+27. 0 = X²-4X-3. X = (4±√28)/2 = 2±√7.",X = 2+√7 sau X = 2-√7,3.0,Ecuații,Ecuații,"Ecuații, inecuații și sisteme",3 - consolidare,exersare,2017.0,e(x)=(x-3)/(2x-3)+(x-1)/(3(x-3)). gasiti x pentru e(x)=1.,"conditii: x = 3/2, x = 3. lcd = 3(2x-3)(x-3). ecuatia e(x) = 1 devine: 3(x-3)² + (x-1)(2x-3) = 3(2x-3)(x-3). dezvoltam: 3(x²-6x+9) + (2x²-5x+3) = 3(2x²-9x+9). 3x²-18x+27 + 2x²-5x+3 = 6x²-27x+27. 5x²-23x+30 = 6x²-27x+27. 0 = x²-4x-3. x = (4±√28)/2 = 2±√7.",x = 2+√7 sau x = 2-√7,57,5,254,21,7,19,0,0,0,0,0,0,e(x)=(x-3)/(2x-3)+(x-1)/(3(x-3)). gasiti x pentru e(x)=1.
Exersare Test 2 - 2017,11.0,Rezolvați 1/(2−x) + 1/x = 1 în ℝ.,"LCD = x(2-x). (x + 2-x)/(x(2-x)) = 1 → 2 = x(2-x) → x² - 2x + 2 = 0. Δ < 0, ∅",∅ (nu are soluții reale),2.0,Ecuații,Ecuații,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2017.0,rezolvati 1/(2-x) + 1/x = 1 in ℝ.,"lcd = x(2-x). (x + 2-x)/(x(2-x)) = 1 → 2 = x(2-x) → x² - 2x + 2 = 0. δ < 0, ∅",∅ (nu are solutii reale),33,8,77,24,4,6,0,0,0,0,0,0,rezolvati 1/(2-x) + 1/x = 1 in ℝ.
Sesiunea de bază - 2015,11.0,Rezolvați (x+1)/(x−3)+(x−2)/x=(x+1)/(x−3)×(x−2)/x.,"Notăm A=(x+1)/(x-3), B=(x-2)/x. A+B=AB→(A-1)(B-1)=1. A-1=4/(x-3), B-1=-2/x. -8/(x(x-3))=1. x²-3x+8=0. Δ=9-32=-23<0.",S=∅ (nu are soluții reale),3.0,Ecuații,Ecuații,"Ecuații, inecuații și sisteme",3 - consolidare,sesiune_baza,2015.0,rezolvati (x+1)/(x-3)+(x-2)/x=(x+1)/(x-3)×(x-2)/x.,"notam a=(x+1)/(x-3), b=(x-2)/x. a+b=ab→(a-1)(b-1)=1. a-1=4/(x-3), b-1=-2/x. -8/(x(x-3))=1. x²-3x+8=0. δ=9-32=-23<0.",s=∅ (nu are solutii reale),50,2,115,26,6,20,0,0,0,0,0,0,rezolvati (x+1)/(x-3)+(x-2)/x=(x+1)/(x-3)×(x-2)/x.
Pretestare - 2014,11.0,Rezolvați (x+2)/(x−2)−10/(x²−4)=(x+1)/(x+2).,"LCD=(x-2)(x+2), x≠±2. (x+2)²-10=(x+1)(x-2). x²+4x+4-10=x²-x-2. 5x=4. x=4/5.",x=4/5,3.0,Ecuații,Ecuații,"Ecuații, inecuații și sisteme",3 - consolidare,pretestare,2014.0,rezolvati (x+2)/(x-2)-10/(x²-4)=(x+1)/(x+2).,"lcd=(x-2)(x+2), x=±2. (x+2)²-10=(x+1)(x-2). x²+4x+4-10=x²-x-2. 5x=4. x=4/5.",x=4/5,44,2,75,5,7,17,0,0,0,0,0,0,rezolvati (x+2)/(x-2)-10/(x²-4)=(x+1)/(x+2).
