time_spent_seconds,hint_count,attempt_count,is_correct,mistake_count,exercise_difficulty_encoded,previous_mastery,consecutive_errors,help_level_requested,learner_state
90,2,2,1,1.4,1,0.5116218454308532,2,2,progres
130,2,2,1,1.0,4,0.3122683501016816,0,3,progres
105,1,1,1,1.7,3,0.7192528894728425,1,1,progres
65,0,1,1,0.0,2,0.98,0,0,autonomie_buna
110,4,1,0,3.8,2,0.4479316341221692,4,3,blocaj
168,2,2,0,4.1,4,0.4903949893264068,3,3,progres
74,1,1,1,1.4,1,0.33226630134234575,2,1,progres
162,2,1,1,4.8,3,0.4979699116710689,4,3,progres
96,0,2,0,2.8,1,0.05,4,0,blocaj
145,1,6,0,4.8,1,0.23495754156254536,4,3,blocaj
178,0,5,1,2.0,3,0.5525657785352185,0,1,progres
147,1,2,1,4.1,4,0.844672542074009,3,3,supraincarcare
161,2,2,1,6.5,3,0.9433264361176449,5,3,supraincarcare
172,2,2,1,4.8,4,0.4400764199121011,4,3,progres
113,1,1,1,1.7,3,0.98,1,2,autonomie_buna
137,2,2,1,3.4,4,0.553705185545208,2,3,supraincarcare
137,1,1,0,5.5,3,0.49702399309125,5,3,progres
59,3,2,1,1.0,1,0.6699932874449969,0,3,supraincarcare
157,2,1,0,4.1,4,0.6095413478421496,3,3,progres
97,1,1,1,1.0,2,0.5381902103837307,0,1,progres
133,1,2,1,4.5,3,0.41626908438049093,5,3,progres
96,0,2,0,0.0,2,0.320455272456295,0,0,progres
76,1,1,1,1.0,1,0.21001173758534178,0,1,progres
150,3,2,0,3.7,4,0.697372631734749,1,3,supraincarcare
114,1,2,1,1.7,4,0.4595503379770772,1,2,progres
136,1,3,1,3.4,3,0.42746925121725887,2,3,progres
128,2,4,0,2.7,2,0.6204750649407009,1,3,progres
173,1,2,0,3.4,4,0.7350597063957154,2,3,supraincarcare
164,1,3,1,5.1,3,0.6322785974313814,3,3,progres
133,1,2,0,6.1,2,0.3068272682004402,3,3,blocaj
167,1,5,0,4.5,2,0.7787523226178111,5,3,supraincarcare
87,0,3,0,2.4,1,0.8700913438842394,2,0,progres
104,1,2,0,3.0999999999999996,1,0.6140903771588345,3,2,supraincarcare
