Sursa,Itemul,Problema,Pasii de rezolvare,Raspunsul,Dificultate,Tema,Tema_norm,Domeniu,Dificultate_group,Sursa_type,Sursa_year,Problema_clean,Pasi_clean,Raspuns_clean,problem_chars,problem_words,steps_chars,answer_chars,n_digits,n_math_symbols,has_percent,has_geometry_word,has_equation_word,has_radical,has_function_word,has_real_life_context,problem_hash
Exersare Test 1 - 2022,1.0,"Fie a = 25/3 : 15/9 si b = -8 + 3. Completati cu numere reale, astfel incat propozitia obtinuta sa fie adevarata: a = ?, b = ?, a · b = ?",Se calculeaza a = (25/3) : (15/9) = (25/3) × (9/15) = 225/45 = 5; b = -8 + 3 = -5; a · b = 5 × (-5) = -25,"a = 5, b = -5, a · b = -25",1,Numere reale,Mulțimi numerice,Mulțimi numerice,1 - bază,exersare,2022.0,"fie a = 25/3 : 15/9 si b = -8 + 3. completati cu numere reale, astfel incat propozitia obtinuta sa fie adevarata: a = ?, b = ?, a · b = ?",se calculeaza a = (25/3) : (15/9) = (25/3) × (9/15) = 225/45 = 5; b = -8 + 3 = -5; a · b = 5 × (-5) = -25,"a = 5, b = -5, a · b = -25",137,34,105,26,8,9,0,0,0,0,0,0,"fie a = 25/3 : 15/9 si b = -8 + 3. completati cu numere reale, astfel incat propozitia obtinuta sa fie adevarata: a = ?, b = ?, a · b = ?"
Exersare Test 1 - 2022,2.0,"In desenul alaturat este reprezentat triunghiul ABC, in care AB = BC, m(∠ABC) = 100°, iar CK este bisectoare. Scrieti masura in grade a unghiului ACK: m(∠ACK) = ?",Triunghi isoscel AB=BC => ∠BAC = ∠BCA = (180° - 100°)/2 = 40°. CK bisectoare => ∠ACK = 40°/2 = 20°,20°,2,Geometrie - Triunghiuri,Geometrie - Triunghiuri,Geometrie,2 - mediu,exersare,2022.0,"in desenul alaturat este reprezentat triunghiul abc, in care ab = bc, m(∠abc) = 100°, iar ck este bisectoare. scrieti masura in grade a unghiului ack: m(∠ack) = ?",triunghi isoscel ab=bc => ∠bac = ∠bca = (180° - 100°)/2 = 40°. ck bisectoare => ∠ack = 40°/2 = 20°,20°,162,29,98,3,3,7,0,1,0,0,0,0,"in desenul alaturat este reprezentat triunghiul abc, in care ab = bc, m(∠abc) = 100°, iar ck este bisectoare. scrieti masura in grade a unghiului ack: m(∠ack) = ?"
Exersare Test 1 - 2022,3.0,"Se considera functia f: R → R, f(x) = -3x + 7. Scrieti in spatiul liber una dintre expresiile 'strict crescatoare' sau 'strict descrescatoare', astfel incat propozitia obtinuta sa fie adevarata: Functia f este ... pe R","Coeficientul lui x este -3 < 0, deci functia este strict descrescatoare",strict descrescatoare,1,Functii,Funcții,Funcții,1 - bază,exersare,2022.0,"se considera functia f: r → r, f(x) = -3x + 7. scrieti in spatiul liber una dintre expresiile 'strict crescatoare' sau 'strict descrescatoare', astfel incat propozitia obtinuta sa fie adevarata: functia f este ... pe r","coeficientul lui x este -3 < 0, deci functia este strict descrescatoare",strict descrescatoare,218,37,71,21,2,5,0,0,0,0,1,0,"se considera functia f: r → r, f(x) = -3x + 7. scrieti in spatiul liber una dintre expresiile 'strict crescatoare' sau 'strict descrescatoare', astfel incat propozitia obtinuta sa fie adevarata: functia f este ... pe r"
Exersare Test 1 - 2022,4.0,"Intr-o zi de luni vanzarile unui magazin au fost de 10200 lei, iar marti - de 11730 lei. Determinati cu cate procente au crescut vanzarile",Cresterea = 11730 - 10200 = 1530 lei. Procentul = (1530 × 100) / 10200 = 15%,0.15,1,Procente,Procente,Rapoarte și proporții,1 - bază,exersare,2022.0,"intr-o zi de luni vanzarile unui magazin au fost de 10200 lei, iar marti - de 11730 lei. determinati cu cate procente au crescut vanzarile",cresterea = 11730 - 10200 = 1530 lei. procentul = (1530 × 100) / 10200 = 15%,0.15,138,25,76,4,10,2,1,0,0,0,0,1,"intr-o zi de luni vanzarile unui magazin au fost de 10200 lei, iar marti - de 11730 lei. determinati cu cate procente au crescut vanzarile"
Exersare Test 1 - 2022,5.0,Calculati valoarea expresiei: √20/(√7-√5) - √35,Rationalizam: √20/(√7-√5) × (√7+√5)/(√7+√5) = √20(√7+√5)/2 = √5(√7+√5) = √35 + 5. Rezultat: √35 + 5 - √35 = 5,5.0,2,Radicali,Radicali,Mulțimi numerice,2 - mediu,exersare,2022.0,calculati valoarea expresiei: √20/(√7-√5) - √35,rationalizam: √20/(√7-√5) × (√7+√5)/(√7+√5) = √20(√7+√5)/2 = √5(√7+√5) = √35 + 5. rezultat: √35 + 5 - √35 = 5,5.0,47,6,109,3,6,9,0,0,0,1,0,0,calculati valoarea expresiei: √20/(√7-√5) - √35
Exersare Test 1 - 2022,6.0,Fie A multimea solutiilor reale ale ecuatiei 3x² + 5x - 2 = 0. Determinati multimea A \ Z (A fara Z),"Δ = 25 + 24 = 49. x₁ = (-5+7)/6 = 1/3; x₂ = (-5-7)/6 = -2. A = {1/3, -2}. A \ Z = {1/3}",{1/3},1,Ecuatii de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",1 - bază,exersare,2022.0,fie a multimea solutiilor reale ale ecuatiei 3x² + 5x - 2 = 0. determinati multimea a \ z (a fara z),"δ = 25 + 24 = 49. x₁ = (-5+7)/6 = 1/3; x₂ = (-5-7)/6 = -2. a = {1/3, -2}. a \ z = {1/3}",{1/3},100,22,87,5,4,5,0,0,1,0,0,0,fie a multimea solutiilor reale ale ecuatiei 3x² + 5x - 2 = 0. determinati multimea a \ z (a fara z)
Exersare Test 1 - 2022,7.0,"Fie ABCD un paralelogram, in care m(∠BAD) = 30°, iar inaltimea BK este de 3√3 cm si imparte latura AD in doua segmente congruente. Determinati aria paralelogramului ABCD","In triunghiul ABK: ∠BAK = 30°, BK = 3√3. AK = BK/tan(30°) = 9. AD = 2×AK = 18. Aria = AD × BK = 18 × 3√3 = 54√3 cm²",54√3 cm²,3,Geometrie - Arii,Geometrie - Arii,Geometrie,3 - consolidare,exersare,2022.0,"fie abcd un paralelogram, in care m(∠bad) = 30°, iar inaltimea bk este de 3√3 cm si imparte latura ad in doua segmente congruente. determinati aria paralelogramului abcd","in triunghiul abk: ∠bak = 30°, bk = 3√3. ak = bk/tan(30°) = 9. ad = 2×ak = 18. aria = ad × bk = 18 × 3√3 = 54√3 cm²",54√3 cm²,169,28,115,8,4,4,0,1,0,1,0,0,"fie abcd un paralelogram, in care m(∠bad) = 30°, iar inaltimea bk este de 3√3 cm si imparte latura ad in doua segmente congruente. determinati aria paralelogramului abcd"
Exersare Test 1 - 2022,8.0,"Ion si Maria au primit de la parinti sume egale de bani pentru a cumpara martisoare. Ion a cumparat martisoare de cate 8 lei fiecare si i-au ramas 3 lei, iar Maria a cumparat martisoare de cate 6 lei fiecare si i-a ramas 1 leu. Determinati cate martisoare a cumparat Ion si cate a cumparat Maria, daca impreuna au cumparat 12 martisoare","Fie x = nr martisoare Ion, y = nr martisoare Maria. x + y = 12; 8x + 3 = 6y + 1 => 4x - 3y = -1. Inlocuim y = 12 - x: 7x = 35 => x = 5, y = 7","Ion: 5, Maria: 7",2,Sisteme de ecuatii,Sisteme de ecuații,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2022.0,"ion si maria au primit de la parinti sume egale de bani pentru a cumpara martisoare. ion a cumparat martisoare de cate 8 lei fiecare si i-au ramas 3 lei, iar maria a cumparat martisoare de cate 6 lei fiecare si i-a ramas 1 leu. determinati cate martisoare a cumparat ion si cate a cumparat maria, daca impreuna au cumparat 12 martisoare","fie x = nr martisoare ion, y = nr martisoare maria. x + y = 12; 8x + 3 = 6y + 1 => 4x - 3y = -1. inlocuim y = 12 - x: 7x = 35 => x = 5, y = 7","ion: 5, maria: 7",336,62,141,16,6,2,0,0,0,0,0,1,"ion si maria au primit de la parinti sume egale de bani pentru a cumpara martisoare. ion a cumparat martisoare de cate 8 lei fiecare si i-au ramas 3 lei, iar maria a cumparat martisoare de cate 6 lei fiecare si i-a ramas 1 leu. determinati cate martisoare a cumparat ion si cate a cumparat maria, daca impreuna au cumparat 12 martisoare"
Exersare Test 1 - 2022,9.0,"Fie functia f: R → R, f(x) = -3x. Determinati valorile reale ale lui x, pentru care f(x) < x + f(-1)",f(-1) = -3×(-1) = 3. Inecuatia: -3x < x + 3 => -4x < 3 => x > -3/4,(-3/4; +∞),3,Inecuatii,Inecuații,"Ecuații, inecuații și sisteme",3 - consolidare,exersare,2022.0,"fie functia f: r → r, f(x) = -3x. determinati valorile reale ale lui x, pentru care f(x) < x + f(-1)",f(-1) = -3×(-1) = 3. inecuatia: -3x < x + 3 => -4x < 3 => x > -3/4,(-3/4; +∞),100,22,66,10,2,11,0,0,0,0,1,0,"fie functia f: r → r, f(x) = -3x. determinati valorile reale ale lui x, pentru care f(x) < x + f(-1)"
Exersare Test 1 - 2022,10.0,Din 27 de cubulete cu muchia de 2 cm Ion a construit un cub. Determinati lungimea muchiei cubului construit,Volumul unui cubuleț = 2³ = 8 cm³. Volumul total = 27 × 8 = 216 cm³. Muchia cubului mare: a³ = 216 => a = 6 cm,6 cm,2,Geometrie - Volume,Geometrie 3D,Geometrie,2 - mediu,exersare,2022.0,din 27 de cubulete cu muchia de 2 cm ion a construit un cub. determinati lungimea muchiei cubului construit,volumul unui cubulet = 2³ = 8 cm³. volumul total = 27 × 8 = 216 cm³. muchia cubului mare: a³ = 216 => a = 6 cm,6 cm,107,19,110,4,3,0,0,1,0,0,0,0,din 27 de cubulete cu muchia de 2 cm ion a construit un cub. determinati lungimea muchiei cubului construit
